l***m ( 309) ,5,great thank a loads=))),2013-06-24,
s***e ( 12) ,5,Seems like a good company with great customer service.,2013-06-21,
b***c ( 3 ) ,5,"Excellent Customer Service, exceptionally beautiful product. Couldn't be happier",2013-06-20,
e***a ( 7 ) ,5,Thanks!!,2013-06-19,
g***l ( 199) ,5,Quick Response To Cancel Request - Good Seller,2013-06-19,
s***k ( 39) ,5,Great communication...returning item effortless! Thank you!,2013-06-19,
s***s ( 228) ,5,Awesome product. Quick delivery. Beautiful earrings. ,2013-06-18,
v***l ( 212) ,5,Absolutely breathtaking!,2013-06-18,
p***k ( 18) ,5,What an amazing company!,2013-06-18,
m***p ( 68) ,5,Item exquisite as described nice setting excel experiece Seller excellent servic,2013-06-17,
u***s ( 85) ,5,Best purchase I made on eBay. What a presentation thanks for everything. ,2013-06-17,
k***b ( 34) ,5,She loved the ring. Thank you so much,2013-06-17,
k***j ( 10) ,5,"Excellent seller, exactly as shown, beautiful...",2013-06-16,
s***b ( 222) ,5,good ebayer,2013-06-14,
y***2 ( 20) ,5,Perfect 100,2013-06-14,
w***2 ( 198) ,5,Absolutely beautiful ring!! Wonderful people to deal with!! Thank you!!,2013-06-14,
9***9 ( 4 ) ,5,Very satisfied. My fiance loves it. Now I need a nice ring. Thanks,2013-06-13,
p***0 ( 28) ,5,Great ,2013-06-12,
r***f ( 270) ,5,Great seller/ product. thanks. ,2013-06-12,
e***n ( 103) ,5,"AWESOME EBAYER, from communication to shipping to a GIFT, WE WILL BE BACK",2013-06-12,
h***t ( 3 ) ,5,Good transaction.,2013-06-12,
e***c ( 44) ,5,"Excellent communication, super fast shipping!!! Great product",2013-06-12,
t***a ( 247) ,5,BEAUTIFUL RING!!! FREE EARRINGS WERE AMAZING! THANK YOU!!!!!!!!!!!!!!!!!!!!!!!,2013-06-11,
d***e ( 15) ,5,"Excellent communication, Excellent product, Service Exceeds expectations!",2013-06-11,
p***m ( 48) ,5,Nice product. Fast delivery. Wish I would have got the wedding band too!,2013-06-10,
6***0 ( 42) ,5,This company was great contacting me for the size of the ring i forgot to send.,2013-06-10,
h***l ( 27) ,5,Its very gorgeous. My fiance will love it. ,2013-06-07,
g***9 ( 127) ,5,"Fanatstic ring, Wow, better go pick my wife up off the floor! She loves it!!!!",2013-06-07,
2***1 ( 22) ,5,Great company to deal with !! Highly Reccomended!!!,2013-06-07,
a***h ( 1026) ,5,Great seller! Great item at a great price with quick shipping! Thank you :),2013-06-06,
t***r ( 356) ,5,VERY safe/fast shipping...great item. Thank you...and thanks for the bonus!,2013-06-06,
y***t ( 4 ) ,5,"Beautiful ring, shipped fast, would buy from again",2013-06-06,
d***s ( 280) ,5,Very nice! Thank you,2013-06-06,
m***k ( 167) ,5,Perfect! Super eBayer!!!! Super fast shipping!!! Thank you!!!! ,2013-06-05,
d***y ( 18) ,5,"Awesome ring!! Very happy with the way it look. Will buy again! Thanks,,",2013-06-03,
d***t ( 251) ,5,Item looks great!,2013-06-03,
p***p ( 13) ,5,Praise the Lord for the beautiful ring and earrings!!!! Thanks!!,2013-06-03,
m***d ( 3 ) ,5,Received my ring in less time then expected! Love the item purchased!,2013-06-02,
t***s ( 156) ,5,"Fantastic service, super fast delivery and amazing quality, highly recommended!!",2013-06-01,
y***o ( 103) ,5,"Pleasure doing business, *****fast shipping******",2013-05-31,
z***i ( 44) ,5,Very nice and i got earrings as gift thank you ,2013-05-31,
g***t ( 78) ,5,njce thank you,2013-05-30,
e***j ( 1 ) ,5,i had a great experence with agape the ring turned awesome and service was great,2013-05-30,
b***b ( 42) ,5,Never got cancel,2013-05-29,
3***3 ( 97) ,5,Fast shipping. Great communication. Thank you.,2013-05-29,
f***o ( 634) ,5,Very Satisfied. Best Customer Service! Will Buy Again!,2013-05-28,
c***a ( 47) ,5,Great seller! pleasure to do business with!,2013-05-28,
c***f ( 22) ,5,Just as promised! And also the free Gift was greatly appreciated! Thanks!,2013-05-28,
o***2 ( 55) ,5,Great ring thanks so much,2013-05-27,
m***y ( 125) ,5,Aaaaaaaaaaaaa+++++++++++++++,2013-05-26,
z***1 ( 22) ,5,Beautiful ring! Thank you,2013-05-25,
y***b ( 19) ,5,I can not believe how beautiful this ring is. Wow. A+ ,2013-05-25,
s***a ( 6 ) ,5,"AMAZING QUALITY! In love with my earrings and ring. Beautiful packaging,too. A++",2013-05-24,
k***r ( 181) ,5,Absolutely Gorgeous! I love it and the earrings were a nice treat Thank You!,2013-05-24,
f***s ( 112) ,5,fast service and my wife happy with the ring,2013-05-24,
i***e ( 9 ) ,5,A million thanks! Ring was PERFECT WOW! TY for the EARRINGS TOO! So unexpected! ,2013-05-23,
t***r ( 106) ,5,Excellent transaction. Very nice transaction. Bid and buy with confidence.,2013-05-22,
4***4 ( 325) ,5,"Beautiful ring, Fast shipping",2013-05-22,
