VERY HAPPY WOULD BUY AGAIN AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Buyer: c***d ( 356) ,Aug-29-13 05:09
If you're buying jewelry GO TO AGAPE!! Great communication/great transaction!,Buyer: a***e ( 19) ,Aug-28-13 16:40
Outstanding service love the ring AAAAA+++++ Thanks,Buyer: k***s ( 1258) ,Aug-26-13 18:55
A++++++,Buyer: e***1 ( 237) ,Aug-26-13 14:45
Great communication,Buyer: _***b ( 122) ,Aug-22-13 16:17
Thanks for the ring. AMAZING!!!,Buyer: 1***1 ( 376) ,Aug-21-13 06:43
My ring is absolutely spectacular! Thank you so much!,Buyer: n***n ( 3 ) ,Aug-20-13 17:58
The best jewelry is right here! A++++++ seller! Super happy....Thank you! !!!!,Buyer: 1***3 ( 301) ,Aug-20-13 02:55
Thanks,Buyer: u***o ( 412) ,Aug-18-13 03:23
"Unbelievable product, wish I could leave 6 stars!!!!! ",Buyer: 8***8 ( 94) ,Aug-17-13 09:39
amazing!!! highly recommended! excelent product and service!,Buyer: c***d ( 145) ,Aug-16-13 15:21
"Awesome service and exceptional products, thanks for all *****",Buyer: c***l ( 157) ,Aug-16-13 09:01
"Instant Payment, Perfect buyer, Seller could not have asked for better A+++++++",Buyer: h***g ( 179) ,Aug-13-13 20:20
Eventhough i return the item the communication was very smooth,Buyer: t***e ( 114) ,Aug-13-13 10:04
Beautiful ring and great company! Thank you!,Buyer: a***s ( 124) ,Aug-11-13 15:30
"very beautiful, nice earings, fast delivery...... very happy",Buyer: e***7 ( 48) ,Aug-09-13 17:10
Super fast shipping and excellent price! Absolutely stunning<3 ,Buyer: 6***6 ( 80) ,Aug-09-13 12:34
Perfect fit packed awesome awesome ring and free gift !,Buyer: c***t ( 224) ,Aug-08-13 14:06
Absolutely the most perfect ring ever thank u so much Wonderful fast service,Buyer: a***x ( 1 ) ,Aug-08-13 13:55
most amazing piece of jewelry i own. so beautiful. thank you.,Buyer: i***n ( 196) ,Aug-08-13 12:43
Item exactly as described. Excellent eBay seller!,Buyer: t***r ( 417) ,Aug-07-13 17:02
"beautiful, more than expected",Buyer: j***8 ( 19) ,Aug-07-13 06:19
Product as described - wife loves the rings,Buyer: 1***1 ( 10) ,Aug-07-13 00:56
Great Seller A+++ fast shpping and GREAT customer service!!,Buyer: b***a ( 193) ,Aug-05-13 08:31
I put this ring with a real diamond wedding band and they look dazzling!,Buyer: 7***7 ( 162) ,Aug-04-13 12:21
Great thank you,Buyer: 4***4 ( 344) ,Aug-03-13 17:55
great great rings best delivery service cant wait to order my next set of rings,Buyer: s***r ( 497) ,Aug-03-13 06:57
Very good SHE loves it!!!!,Buyer: 3***7 ( 245) ,Aug-02-13 21:19
Fantastic product. Very pleased. Saved a fortune. Thanks,Buyer: t***- ( 21536) ,Aug-02-13 17:51
"These rings are awesome, great communication....Thank you!!!",Buyer: b***l ( 308) ,Aug-02-13 06:18
Quick turnaround!,Buyer: p***l ( 3 ) ,Jul-30-13 04:22
"Beautiful ring! Thank you! Seller is wonderful, highly recommend!",Buyer: 2***2 ( 482) ,Jul-29-13 18:41
Great seller! Great item!!! Works perfect Xtra fast shipping!!! A++++,Buyer: v***t ( 51) ,Jul-25-13 09:23
beatiful and as described!... received an extra gift!,Buyer: d***o ( 451) ,Jul-25-13 03:32
"Everything was delivered as promised, excellent packing.",Buyer: h***u ( 17) ,Jul-24-13 14:07
6 STAR SELLER!!! Thanks So Much Richard :) Hope to buy from them AGAIN!!!,Buyer: e***e ( 965) ,Jul-23-13 16:40
the purse is cute but smells like vinager!(not good) my fault for not asking!!,Buyer: s***0 ( 18) ,Jul-22-13 16:15
Good fast shipping,Buyer: r***s ( 47) ,Jul-22-13 15:20
A+++ seller!,Buyer: r***1 ( 297) ,Jul-21-13 21:09
Just as described...Beautiful,Buyer: d***r ( 99) ,Jul-21-13 14:30
"A+++++++++++++++++++++Better than expected, great customer service",Buyer: n***m ( 360) ,Jul-19-13 18:46
great product!! the wife is very happy!,Buyer: b***m ( 3 ) ,Jul-19-13 08:58
Thank you! Great quality.. Fast shipping! .I love it!l,Buyer: g***r ( 389) ,Jul-18-13 22:40
Stunning ring! Earrings were a nice bonus as well. ,Buyer: l***h ( 129) ,Jul-18-13 19:09
Extremely pleasantly surprised. Would definitely recommend.,Buyer: k***k ( 82) ,Jul-18-13 10:19
The ring is SSSOOOOOO stunning I don't even want to take it off!!!!!,Buyer: v***e ( 1 ) ,Jul-16-13 12:55
Great Communication & Customer service!!! Thank you!!!,Buyer: a***n ( 121) ,Jul-16-13 06:00
"quality great, beautifully boxed, I'm thoroughly pleased",Buyer: o***t ( 660) ,Jul-14-13 07:11
"excellent quality, beautifully boxed, thank you!",Buyer: o***t ( 660) ,Jul-14-13 07:11
"Item is beautiful, beautiful presentation in boxing, fast delivery, thanks!",Buyer: o***t ( 660) ,Jul-14-13 07:08
LOVE LOVE LOVE my ring and received it right on time. Ty for being awesome!,Buyer: o***u ( 6 ) ,Jul-13-13 03:35
"EXCELLANT DEALERSHIP, VERY EASY TO DEAL WITH!!!!",Buyer: p***w ( 31) ,Jul-12-13 10:45
Best seller EVER!!!! This is the most gorgeous ring I've ever laid my eyes on! ,Buyer: p***r ( 38) ,Jul-12-13 08:42
Friendly and helpful,Buyer: t***b ( 3 ) ,Jul-11-13 17:16
Thanks!,Buyer: 2***2 ( 308) ,Jul-10-13 13:01
