"very beautiful, nice earings, fast delivery...... very happy",5,Buyer: e***7 ( 48) ,2013-08-09
Super fast shipping and excellent price! Absolutely stunning<3 ,5,Buyer: 6***6 ( 80) ,2013-08-09
Perfect fit packed awesome awesome ring and free gift !,5,Buyer: c***t ( 224) ,2013-08-08
Absolutely the most perfect ring ever thank u so much Wonderful fast service,5,Buyer: a***x ( 1 ) ,2013-08-08
most amazing piece of jewelry i own. so beautiful. thank you.,5,Buyer: i***n ( 196) ,2013-08-08
Item exactly as described. Excellent eBay seller!,5,Buyer: t***r ( 417) ,2013-08-07
"beautiful, more than expected",5,Buyer: j***8 ( 19) ,2013-08-07
Product as described - wife loves the rings,5,Buyer: 1***1 ( 10) ,2013-08-07
Great Seller A+++ fast shpping and GREAT customer service!!,5,Buyer: b***a ( 193) ,2013-08-05
I put this ring with a real diamond wedding band and they look dazzling!,5,Buyer: 7***7 ( 162) ,2013-08-04
Great thank you,5,Buyer: 4***4 ( 344) ,2013-08-03
great great rings best delivery service cant wait to order my next set of rings,5,Buyer: s***r ( 497) ,2013-08-03
Very good SHE loves it!!!!,5,Buyer: 3***7 ( 245) ,2013-08-02
Fantastic product. Very pleased. Saved a fortune. Thanks,5,Buyer: t***- ( 21536) ,2013-08-02
"These rings are awesome, great communication....Thank you!!!",5,Buyer: b***l ( 308) ,2013-08-02
Quick turnaround!,5,Buyer: p***l ( 3 ) ,2013-07-30
"Beautiful ring! Thank you! Seller is wonderful, highly recommend!",5,Buyer: 2***2 ( 482) ,2013-07-29
Great seller! Great item!!! Works perfect Xtra fast shipping!!! A++++,5,Buyer: v***t ( 51) ,2013-07-25
beatiful and as described!... received an extra gift!,5,Buyer: d***o ( 451) ,2013-07-25
"Everything was delivered as promised, excellent packing.",5,Buyer: h***u ( 17) ,2013-07-24
6 STAR SELLER!!! Thanks So Much Richard :) Hope to buy from them AGAIN!!!,5,Buyer: e***e ( 965) ,2013-07-23
the purse is cute but smells like vinager!(not good) my fault for not asking!!,5,Buyer: s***0 ( 18) ,2013-07-22
Good fast shipping,5,Buyer: r***s ( 47) ,2013-07-22
A+++ seller!,5,Buyer: r***1 ( 297) ,2013-07-21
Just as described...Beautiful,5,Buyer: d***r ( 99) ,2013-07-21
"A+++++++++++++++++++++Better than expected, great customer service",5,Buyer: n***m ( 360) ,2013-07-19
great product!! the wife is very happy!,5,Buyer: b***m ( 3 ) ,2013-07-19
Thank you! Great quality.. Fast shipping! .I love it!l,5,Buyer: g***r ( 389) ,2013-07-18
Stunning ring! Earrings were a nice bonus as well. ,5,Buyer: l***h ( 129) ,2013-07-18
Extremely pleasantly surprised. Would definitely recommend.,5,Buyer: k***k ( 82) ,2013-07-18
The ring is SSSOOOOOO stunning I don't even want to take it off!!!!!,5,Buyer: v***e ( 1 ) ,2013-07-16
Great Communication & Customer service!!! Thank you!!!,5,Buyer: a***n ( 121) ,2013-07-16
"quality great, beautifully boxed, I'm thoroughly pleased",5,Buyer: o***t ( 660) ,2013-07-14
"excellent quality, beautifully boxed, thank you!",5,Buyer: o***t ( 660) ,2013-07-14
"Item is beautiful, beautiful presentation in boxing, fast delivery, thanks!",5,Buyer: o***t ( 660) ,2013-07-14
LOVE LOVE LOVE my ring and received it right on time. Ty for being awesome!,5,Buyer: o***u ( 6 ) ,2013-07-13
"EXCELLANT DEALERSHIP, VERY EASY TO DEAL WITH!!!!",5,Buyer: p***w ( 31) ,2013-07-12
Best seller EVER!!!! This is the most gorgeous ring I've ever laid my eyes on! ,5,Buyer: p***r ( 38) ,2013-07-12
Friendly and helpful,5,Buyer: t***b ( 3 ) ,2013-07-11
Thanks!,5,Buyer: 2***2 ( 308) ,2013-07-10
Unbelievable this ring is perfect ,5,Buyer: p***2 ( 238) ,2013-07-10
Very prompt response time. ,5,Buyer: b***b ( 15) ,2013-07-08
Absolutely gorgeous! Folks you cannot go wrong Buying here. Quality !!!!!!!!!,5,Buyer: s**** ( 962) ,2013-07-08
great product and fast shipping,5,Buyer: 4***4 ( 41) ,2013-07-08
Wonderful service and absolutely beautiful ring!!,5,Buyer: o***e ( 1 ) ,2013-07-08
Best seller on ebay! Great transaction and BEAUTIFUL jewelry! Thanks!,5,Buyer: a***b ( 439) ,2013-07-08
Great Ebayer. Thank you.,5,Buyer: m***n ( 223) ,2013-07-07
a gorgeous ring! seller is rated A+++++++++++,5,Buyer: d***h ( 39) ,2013-07-07
Quick resolution to my situation. Excellant customer service!,5,Buyer: d***e ( 29) ,2013-07-06
new items,5,Buyer: h***b ( 1223) ,2013-07-05
in love with them,5,Buyer: g***e ( 54) ,2013-07-04
"A+ seller , very fast shipping ",5,Buyer: a***b ( 130) ,2013-07-03
beautiful ring! excellent service!,5,Buyer: i***g ( 34) ,2013-07-01
Great seller fast shipping! ,5,Buyer: 9***5 ( 31) ,2013-07-01
Great Doing Business With You and the shipment was amazingly fast. Thank You,5,Buyer: m***r ( 37) ,2013-06-30
They are awesome! ,5,Buyer: l***s ( 55) ,2013-06-29
Awesome seller. Thx.,5,Buyer: m***n ( 223) ,2013-06-28
Thank you,5,Buyer: 9***9 ( 124) ,2013-06-27
Great transaction,5,Buyer: e***5 ( 49) ,2013-06-27
"Awesome item, so pleased and it looks gorgeous.",5,Buyer: e***g ( 59) ,2013-06-27
Excellent Transaction. Quality product,5,Buyer: a***l ( 41) ,2013-06-27
"very understanding , 5 stars",5,Buyer: h***e ( 26) ,2013-06-27
"Beautiful, just as discribed, love it, shipping could have been quicker though",5,Buyer: 4***4 ( 55) ,2013-06-26
She loves it. Thanks again,5,Buyer: m***o ( 299) ,2013-06-26
Great Customer Service,5,Buyer: t***t ( 21) ,2013-06-25
Stunning & Brilliant! Fabulous communication - ALL quite accurate!,5,Buyer: b***i ( 235) ,2013-06-25
great thank a loads=))),5,Buyer: l***m ( 309) ,2013-06-24
Seems like a good company with great customer service.,5,Buyer: s***e ( 12) ,2013-06-21
"Excellent Customer Service, exceptionally beautiful product. Couldn't be happier",5,Buyer: b***c ( 3 ) ,2013-06-20
Thanks!!,5,Buyer: e***a ( 7 ) ,2013-06-19
Quick Response To Cancel Request - Good Seller,5,Buyer: g***l ( 199) ,2013-06-19
Great communication...returning item effortless! Thank you!,5,Buyer: s***k ( 39) ,2013-06-19
Awesome product. Quick delivery. Beautiful earrings. ,5,Buyer: s***s ( 228) ,2013-06-18
Absolutely breathtaking!,5,Buyer: v***l ( 212) ,2013-06-18
What an amazing company!,5,Buyer: p***k ( 18) ,2013-06-18
Item exquisite as described nice setting excel experiece Seller excellent servic,5,Buyer: m***p ( 68) ,2013-06-17
Best purchase I made on eBay. What a presentation thanks for everything. ,5,Buyer: u***s ( 85) ,2013-06-17
She loved the ring. Thank you so much,5,Buyer: k***b ( 34) ,2013-06-17
"Excellent seller, exactly as shown, beautiful...",5,Buyer: k***j ( 10) ,2013-06-16
good ebayer,5,Buyer: s***b ( 222) ,2013-06-14
Perfect 100,5,Buyer: y***2 ( 20) ,2013-06-14
Absolutely beautiful ring!! Wonderful people to deal with!! Thank you!!,5,Buyer: w***2 ( 198) ,2013-06-14
Very satisfied. My fiance loves it. Now I need a nice ring. Thanks,5,Buyer: 9***9 ( 4 ) ,2013-06-13
Great ,5,Buyer: p***0 ( 28) ,2013-06-12
Great seller/ product. thanks. ,5,Buyer: r***f ( 270) ,2013-06-12
"AWESOME EBAYER, from communication to shipping to a GIFT, WE WILL BE BACK",5,Buyer: e***n ( 103) ,2013-06-12
Good transaction.,5,Buyer: h***t ( 3 ) ,2013-06-12
